이름,정당,선거구,성별
남인순,더불어민주당,서울 송파구병,여
이해민,조국혁신당,비례대표,여
이수진,더불어민주당,경기 성남시중원구,여
황희,더불어민주당,서울 양천구갑,남
황운하,조국혁신당,비례대표,남
박은정,조국혁신당,비례대표,여
박용갑,더불어민주당,대전 중구,남
채현일,더불어민주당,서울 영등포구갑,남
김소희,국민의힘,비례대표,여
김태년,더불어민주당,경기 성남시수정구,남
김상훈,국민의힘,대구 서구,남
정청래,더불어민주당,서울 마포구을,남
전현희,더불어민주당,서울 중구성동구갑,여
장철민,더불어민주당,대전 동구,남
이훈기,더불어민주당,인천 남동구을,남
송옥주,더불어민주당,경기 화성시갑,여
김미애,국민의힘,부산 해운대구을,여
진성준,더불어민주당,서울 강서구을,남
김기표,더불어민주당,경기 부천시을,남
이재강,더불어민주당,경기 의정부시을,남
조지연,국민의힘,경북 경산시,여
양문석,더불어민주당,경기 안산시갑,남
윤종오,진보당,울산 북구,남
김우영,더불어민주당,서울 은평구을,남
이인영,더불어민주당,서울 구로구갑,남
박정,더불어민주당,경기 파주시을,남
강승규,국민의힘,충남 홍성군예산군,남
박희승,더불어민주당,전북 남원시장수군임실군순창군,남
김원이,더불어민주당,전남 목포시,남
임오경,더불어민주당,경기 광명시갑,여
문진석,더불어민주당,충남 천안시갑,남
배현진,국민의힘,서울 송파구을,여
서미화,더불어민주당,비례대표,여
이정헌,더불어민주당,서울 광진구갑,남
김영진,더불어민주당,경기 수원시병,남
김재섭,국민의힘,서울 도봉구갑,남
김승수,국민의힘,대구 북구을,남
조경태,국민의힘,부산 사하구을,남
강준현,더불어민주당,세종특별자치시을,남
홍기원,더불어민주당,경기 평택시갑,남
김윤,더불어민주당,비례대표,남
박수현,더불어민주당,충남 공주시부여군청양군,남
진선미,더불어민주당,서울 강동구갑,여
박주민,더불어민주당,서울 은평구갑,남
송언석,국민의힘,경북 김천시,남
부승찬,더불어민주당,경기 용인시병,남
이용우,더불어민주당,인천 서구을,남
박정하,국민의힘,강원 원주시갑,남
박형수,국민의힘,경북 의성군청송군영덕군울진군,남
김현정,더불어민주당,경기 평택시병,남
김태선,더불어민주당,울산 동구,남
구자근,국민의힘,경북 구미시갑,남
김영호,더불어민주당,서울 서대문구을,남
김선민,조국혁신당,비례대표,여
박범계,더불어민주당,대전 서구을,남
성일종,국민의힘,충남 서산시태안군,남
이건태,더불어민주당,경기 부천시병,남
김현,더불어민주당,경기 안산시을,여
서왕진,조국혁신당,비례대표,남
엄태영,국민의힘,충북 제천시단양군,남
김문수,더불어민주당,전남 순천시광양시곡성군구례군갑,남
김성회,더불어민주당,경기 고양시갑,남
김준형,조국혁신당,비례대표,남
박지원,더불어민주당,전남 해남군완도군진도군,남
어기구,더불어민주당,충남 당진시,남
한민수,더불어민주당,서울 강북구을,남
이상휘,국민의힘,경북 포항시남구울릉군,남
김영환,더불어민주당,경기 고양시정,남
강득구,더불어민주당,경기 안양시만안구,남
김병기,더불어민주당,서울 동작구갑,남
주호영,국민의힘,대구 수성구갑,남
조계원,더불어민주당,전남 여수시을,남
우재준,국민의힘,대구 북구갑,남
윤한홍,국민의힘,경남 창원시마산회원구,남
정연욱,국민의힘,부산 수영구,남
이광희,더불어민주당,충북 청주시서원구,남
강명구,국민의힘,경북 구미시을,남
김성원,국민의힘,경기 동두천시양주시연천구을,남
정진욱,더불어민주당,광주 동구남구갑,남
이용선,더불어민주당,서울 양천구을,남
김정호,더불어민주당,경남 김해시을,남
윤영석,국민의힘,경남 양산시갑,남
전재수,더불어민주당,부산 북구갑,남
최형두,국민의힘,경남 창원시마산합포구,남
천준호,더불어민주당,서울 강북구갑,남
박정훈,국민의힘,서울 송파구갑,남
이강일,더불어민주당,충북 청주시상당구,남
